app_id,tag
250900,Difficult
250900,Pixel Graphics
250900,Dungeon Crawler
250900,Great Soundtrack
250900,Singleplayer
250900,Dark
250900,2D
250900,Remake
250900,Local Co Op
250900,Gore
250900,Procedural Generation
250900,Roguelite
250900,Atmospheric
250900,Action
250900,Co op
250900,Horror
1063730,Open World
1063730,RPG
1063730,Adventure
1063730,Action
1063730,PvP
1063730,PvE
1063730,Multiplayer
1063730,Walking Simulator
1063730,Fantasy
1063730,Character Customization
1063730,Crafting
1063730,Third Person
1063730,Co op
1063730,Open World Survival Craft
1063730,Sandbox
1063730,Violent
1063730,Sexual Content
1063730,Singleplayer
264710,Survival
264710,Open World
264710,Horror
264710,Exploration
264710,Crafting
264710,Base Building
264710,Singleplayer
264710,Adventure
264710,First Person
264710,Sci fi
264710,Sandbox
264710,Aliens
264710,Atmospheric
264710,Survival Horror
264710,Multiplayer
264710,Action
264710,Indie
264710,Early Access
1145360,Hack and Slash
1145360,Roguelite
1145360,Indie
1145360,Action
1145360,Mythology
1145360,Roguelike
1145360,RPG
1145360,Great Soundtrack
1145360,Singleplayer
1145360,Story Rich
1145360,Dungeon Crawler
1145360,Replay Value
1145360,Isometric
1145360,Difficult
1145360,Action RPG
1145360,Hand drawn
1145360,Atmospheric
1145360,Perma Death
1145360,Souls like
275850,Open World
275850,Open World Survival Craft
275850,Space
275850,Exploration
275850,Sci fi
275850,Survival
275850,Procedural Generation
275850,Adventure
275850,First Person
275850,Sandbox
275850,Singleplayer
275850,Multiplayer
275850,Atmospheric
275850,Crafting
275850,Space Sim
275850,Indie
275850,Action
275850,Simulation
275850,FPS
275850,VR
433850,Survival
433850,Massively Multiplayer
433850,Multiplayer
433850,Open World
433850,PvP
433850,FPS
433850,Action
433850,Shooter
433850,Free to Play
433850,Third Person Shooter
433850,Zombies
433850,Co op
433850,Early Access
433850,Online Co Op
433850,Adventure
433850,First Person
433850,Violent
433850,Gore
433850,Walking Simulator
377160,Open World
377160,Post apocalyptic
377160,Singleplayer
377160,Exploration
377160,RPG
377160,Adventure
377160,Atmospheric
377160,Shooter
377160,First Person
377160,Story Rich
377160,Action
377160,Sci fi
377160,FPS
377160,Action RPG
377160,Sandbox
377160,Great Soundtrack
377160,Third Person
377160,Survival
377160,Third Person Shooter
377160,Character Customization
289070,Strategy
289070,Turn Based Strategy
289070,Multiplayer
289070,Historical
289070,Singleplayer
289070,Grand Strategy
289070,Turn Based
289070,4X
289070,War
289070,Simulation
289070,City Builder
289070,Tactical
