Reviews Coeff,Reviews Threshold,From (Year),To (Year),Tags,,,How to use:,,
32,50,2020,2023,CRPG,,,"        • Choose up to 3 tags
        • Choose year range 
        • Adjust Sort by, Review Threshold and Coeff if needed.
        • Wait a bit.",,
Sort by,Median Launch Price,Median Reviews,Total Games,Median Owners,Median Revenue,Median Score,,,
Reviews Total,"$15,49",219,132,7 008,"$39 937,83",82%,,,
App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Steam Page,Tags,Owners Estimated,Revenue Estimated
1167950,Vampire's Fall: Origins,663,79%,2020-01-31,"$12,99",https://store.steampowered.com/app/1167950,"RPG, Indie, Character Customization, Open World, Vampire, Old School, Fantasy, Adventure, CRPG, Singleplayer, Atmospheric, Isometric, Turn Based Combat, Story Rich, Turn Based, Dungeons & Dragons, Classic",21216,$105 638
2158730,Hand Simulator: Rendezvous,648,87%,2022-11-01,"$1,99",https://store.steampowered.com/app/2158730,"Sexual Content, Simulation, Dating Sim, Realistic, Physics, Multiplayer, First Person, Mature, Funny, PvP, Nudity, Choose Your Own Adventure, Cinematic, CRPG, Third Person, Relaxing, Romance, Local Multiplayer, Emotional, Indie",20736,$15 817
1502040,大衍江湖 - Evolution Of JiangHu,648,62%,2023-02-10,"$9,99",https://store.steampowered.com/app/1502040,"Simulation, RPG, Strategy, Indie, Adventure, Exploration, Sandbox, Survival, 2D Platformer, Singleplayer, CRPG, 2D, Roguelite, Resource Management, Martial Arts",20736,$79 403
1641670,EdgeOfTheAbyssAwaken,529,69%,2022-06-19,"$18,99",https://store.steampowered.com/app/1641670,"Action Roguelike, Souls like, Medieval, RPG, Third Person, 3D, Hack and Slash, Roguelite, PvE, Strategy RPG, Action RPG, Action Adventure, Roguelike, Action, Co op, Stylized, Combat, Singleplayer, Local Co Op, CRPG",16928,$123 219
1152090,Elmarion: Dragon time,515,77%,2020-03-12,"$14,99",https://store.steampowered.com/app/1152090,"Dragons, Flight, RPG, Fantasy, Spectacle fighter, Medieval, Adventure, Simulation, Magic, Indie, Action, Open World, Singleplayer, Third Person, Early Access, Hand drawn, Action RPG, Action Adventure, CRPG, Third Person Shooter",16480,$94 691
2094270,Lightracer Spark,461,80%,2023-04-12,"$12,99",https://store.steampowered.com/app/2094270,"RPG, Sci fi, Space, Drama, Visual Novel, Interactive Fiction, Space Sim, CRPG, Lore Rich, Story Rich, Strategy, Multiple Endings, Strategy RPG, Indie, Text Based, Singleplayer, Immersive Sim, 3D, Aliens, Transhumanism",14752,$73 453
1704060,Vtuber Simulator : Vtuber模擬器,428,87%,2021-08-08,"$1,99",https://store.steampowered.com/app/1704060,"Casual, Simulation, Strategy, RPG, JRPG, Life Sim, 2D Platformer, CRPG, 2D, Cute, Anime, Drama, Funny, Comedy, Memes, Dark Humor, Linear, Indie, Character Customization, Singleplayer",13696,$10 447
985950,Operencia: The Stolen Sun,423,78%,2020-03-31,"$29,99",https://store.steampowered.com/app/985950,"Indie, RPG, Dungeon Crawler, Party Based RPG, VR, Turn Based Combat, Turn Based, Fantasy, CRPG, Action RPG, Puzzle, Atmospheric, Singleplayer, Grid Based Movement, Mythology, Adventure, First Person, Exploration, Action, Story Rich",13536,$155 602
1889930,Baldur's Gate: Dark Alliance II,423,80%,2022-07-20,"$29,99",https://store.steampowered.com/app/1889930,"Hack and Slash, Dungeon Crawler, CRPG, Action RPG, PvE, RPG, Character Customization, 3D, Isometric, Action, Story Rich, Fantasy, Magic, Adventure, Old School, Combat, Co op, Local Co Op, Local Multiplayer, Multiplayer",13536,$155 602
699330,The Iron Oath,417,81%,2022-04-19,"$19,99",https://store.steampowered.com/app/699330,"RPG, Turn Based Combat, Tactical RPG, Strategy, Fantasy, Story Rich, Medieval, Turn Based Strategy, Party Based RPG, CRPG, Early Access, Open World, Strategy RPG, Turn Based Tactics, Tactical, Adventure, Character Customization, Turn Based, Singleplayer, Sandbox",13344,$102 246
1132760,Dwerve,408,71%,2022-05-31,"$19,99",https://store.steampowered.com/app/1132760,"Action Adventure, Tower Defense, Pixel Graphics, RPG, Dungeon Crawler, Story Rich, Action RPG, Tactical RPG, Strategy RPG, Action, CRPG, Adventure, Tactical, Strategy, Hack and Slash, Fantasy, Real Time Tactics, Difficult, Indie, Retro",13056,$100 040
1420740,Your amazing T-Gotchi!,406,70%,2020-08-08,"$4,99",https://store.steampowered.com/app/1420740,"Horror, Dating Sim, Pixel Graphics, Multiple Endings, Story Rich, Choices Matter, RPG, Simulation, Nudity, Conversation, Visual Novel, Cartoony, Indie, Casual, CRPG, Experimental, 3D, Singleplayer, Sexual Content, Psychological Horror",12992,$24 850
1673190,Bahamut2-dragon's bride,401,98%,2021-09-30,"$9,99",https://store.steampowered.com/app/1673190,"RPG, Dragons, Combat, RTS, Story Rich, JRPG, 2D Platformer, Real Time Tactics, 2D, CRPG, Medieval, Pixel Graphics, Drama, RPGMaker, Singleplayer, Magic",12832,$49 137
1163140,Shanghai Office Simulator,383,72%,2020-10-27,"$12,99",https://store.steampowered.com/app/1163140,"Simulation, RPG, 2D, Turn Based Combat, Story Rich, Singleplayer, Anime, Adventure, Card Battler, Turn Based Tactics, CRPG, Strategy RPG, Turn Based Strategy, Deckbuilding, Card Game, Strategy, Casual, Roguelite, Comic Book, Dating Sim",12256,$61 025
1899060,Pocket Mirror ~ GoldenerTraum,369,95%,2023-05-19,"$19,99",https://store.steampowered.com/app/1899060,"Horror, Adventure, RPG, Casual, Puzzle, Interactive Fiction, 2D, Singleplayer, Anime, Choose Your Own Adventure, Pixel Graphics, Female Protagonist, Exploration, CRPG, Colorful, Stylized, Top Down, Atmospheric, Dark Fantasy, Dark",11808,$90 477
1320100,Wanted Raccoon,366,80%,2021-03-19,"$19,99",https://store.steampowered.com/app/1320100,"Early Access, Adventure, Comedy, Stealth, Simulation, Crafting, Action, Building, Casual, Survival, Family Friendly, Character Customization, Base Building, 6DOF, Physics, Beautiful, Third Person, Action Adventure, CRPG, RPG",11712,$89 741
1299620,Fabled Lands,365,80%,2022-05-26,"$18,99",https://store.steampowered.com/app/1299620,"CRPG, Choose Your Own Adventure, RPG, Roguelite, Open World, Interactive Fiction, 2D, Story Rich, Text Based, Fantasy, Hex Grid, Indie, Adventure, Singleplayer, Roguelike, Strategy RPG, Medieval, Turn Based Strategy, Tabletop, Tactical RPG",11680,$85 019
1266820,Ultimate ADOM - Caverns of Chaos,357,50%,2021-08-25,"$19,99",https://store.steampowered.com/app/1266820,"Fantasy, Old School, Retro, Character Customization, RPG, Roguelike, Indie, Strategy, Traditional Roguelike, Controller, Exploration, Dungeon Crawler, Strategy RPG, Turn Based Strategy, Adventure, CRPG, 2.5D, Tactical RPG, 3D, Top Down",11424,$87 535
